,cfc,state,county,0-17,18-25,26-34,35-44,45-54,55-64,65+,age_unknown,no_aptc,yes_aptc,no_csr,yes_csr,american_alaska_native,asian,black,latino,hawaiian_native_pacific_islander,multiracial,white,ethnicity_unknown,fpl_<_100,fpl_<_151,fpl_<_201,fpl_<_251,fpl_<_301,fpl_<_401,fpl_>_400,fpl_unknown,platinum,gold,silver,bronze,catastrophic,new,active_renew,auto_renew,tps,Year
842,28107,MS,Panola County,0.0,0.1181,0.1564,0.1675,0.2361,0.2957,0.0,0.0,0.0656,0.9344,0.2482,0.7518,0.0,0.0121,0.3653,0.0,0.0,0.0,0.1857,0.4279,0.0,0.6226,0.1897,0.0787,0.0323,0.0262,0.0,0.0272,0.0,0.02,0.8,0.16,0.0,0.6125,0.1231,0.2644,991.0,2015
843,28109,MS,Pearl River County,0.0,0.1102,0.1216,0.1675,0.2381,0.3276,0.0,0.0,0.0448,0.9552,0.2542,0.7458,0.0,0.0086,0.0838,0.008,0.0,0.0,0.4538,0.44,0.0,0.5485,0.191,0.1142,0.0637,0.0327,0.0,0.0304,0.03,0.04,0.81,0.12,0.01,0.6036,0.1813,0.2151,1743.0,2015
844,28113,MS,Pike County,0.0367,0.1301,0.1187,0.1941,0.2262,0.2942,0.0,0.0,0.0494,0.9506,0.2208,0.7792,0.0,0.0173,0.3696,0.0,0.0,0.0,0.1968,0.4143,0.0,0.6344,0.1808,0.0634,0.0467,0.0247,0.0,0.0274,0.02,0.03,0.82,0.11,0.01,0.6651,0.1294,0.2055,1499.0,2015
845,28115,MS,Pontotoc County,0.0,0.1344,0.1376,0.1808,0.2512,0.2512,0.0,0.0,0.0768,0.9232,0.2928,0.7072,0.0,0.0,0.1216,0.0,0.0,0.0,0.448,0.408,0.04,0.4576,0.2704,0.1216,0.0656,0.0192,0.0,0.0,0.04,0.02,0.77,0.17,0.0,0.664,0.112,0.224,625.0,2015
846,28117,MS,Prentiss County,0.0,0.1367,0.1404,0.1554,0.2472,0.2959,0.0,0.0,0.0693,0.9307,0.2191,0.7809,0.0,0.0,0.0974,0.0,0.0,0.0,0.4813,0.3858,0.0,0.573,0.2266,0.0955,0.0375,0.0,0.0,0.0281,0.0,0.04,0.83,0.12,0.0,0.6311,0.1536,0.2154,534.0,2015
847,28121,MS,Rankin County,0.0577,0.1292,0.202,0.1969,0.2056,0.204,0.0046,0.0,0.0652,0.9348,0.31,0.69,0.0,0.0423,0.2263,0.0117,0.0,0.0,0.3621,0.3492,0.0212,0.4931,0.2205,0.121,0.0684,0.045,0.0068,0.0239,0.09,0.05,0.75,0.1,0.01,0.4544,0.1893,0.3563,5891.0,2015
848,28123,MS,Scott County,0.0,0.1176,0.1448,0.19,0.2006,0.3198,0.0,0.0,0.0618,0.9382,0.2624,0.7376,0.0,0.0287,0.2851,0.0,0.0,0.0,0.2926,0.3741,0.0,0.5777,0.2338,0.0603,0.0332,0.0302,0.0,0.0347,0.0,0.0,0.8,0.17,0.0,0.6199,0.1569,0.2232,663.0,2015
849,28127,MS,Simpson County,0.0,0.1333,0.1383,0.2025,0.2173,0.2778,0.0,0.0,0.0605,0.9395,0.2469,0.7531,0.0,0.0,0.3383,0.0,0.0,0.0,0.2728,0.3679,0.0,0.5877,0.2198,0.0802,0.0383,0.0284,0.0,0.0222,0.02,0.0,0.81,0.15,0.0,0.6741,0.1358,0.1901,810.0,2015
850,28129,MS,Smith County,0.0,0.0,0.136,0.138,0.268,0.326,0.0,0.0,0.078,0.922,0.244,0.756,0.0,0.0,0.316,0.0,0.0,0.0,0.326,0.346,0.0,0.56,0.218,0.09,0.028,0.038,0.0,0.038,0.0,0.04,0.82,0.12,0.0,0.628,0.156,0.216,500.0,2015
851,28131,MS,Stone County,0.0,0.0,0.1284,0.1743,0.2355,0.3425,0.0,0.0,0.0765,0.9235,0.2844,0.7156,0.0,0.0,0.159,0.0,0.0,0.0,0.4801,0.3394,0.0367,0.5199,0.2569,0.0765,0.0,0.0581,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.5963,0.1957,0.208,327.0,2015
852,28133,MS,Sunflower County,0.0,0.1443,0.1304,0.1629,0.2486,0.2989,0.0,0.0,0.0531,0.9469,0.1769,0.8231,0.0,0.0,0.4572,0.0,0.0,0.0,0.0708,0.4413,0.0279,0.6965,0.1415,0.0689,0.0242,0.0,0.0,0.0317,0.01,0.02,0.86,0.09,0.01,0.6155,0.1443,0.2402,1074.0,2015
853,28137,MS,Tate County,0.0,0.1365,0.1734,0.1723,0.2226,0.2573,0.0,0.0,0.0615,0.9385,0.2338,0.7662,0.0,0.0,0.236,0.0,0.0,0.0,0.3054,0.4351,0.0,0.5694,0.2383,0.0761,0.0447,0.0324,0.0,0.019,0.0,0.04,0.84,0.11,0.0,0.6398,0.132,0.2282,894.0,2015
